Date,"('Date', '')","('Close', 'BTC-USD')",Title,Description,Source
2024-12-21,2024-12-21,97224.7265625,Mystery Drone Sightings Lead to FAA Ban Despite No Detected Threats,"Plus: Google’s U-turn on creepy “fingerprint” tracking, the LockBit ransomware gang’s teased comeback, and a potential US ban on the most popular routers in America.",Wired
2024-12-22,2024-12-22,95104.9375,Insider Today: Blackstone's holiday cheer,"In this Sunday edition of Insider Today, we're talking about Blackstone's holiday video, a Spanish inheritance battle, and Zestimate errors.",Business Insider
2024-12-22,2024-12-22,95104.9375,How Bitcoin Became Boring,Cryptocurrency’s newly minted respectability has come at the price of becoming just another asset class.,The Atlantic
2024-12-23,2024-12-23,94686.2421875,Telegram Turns a Profit for the First Time,"An anonymous reader shares a report: In recent months, Telegram, the lightly moderated social media app, has held discussions with investors who lent it more than $2 billion. The goal: to reassure them that the company remains a viable bet after its founder, …",Slashdot.org
2024-12-23,2024-12-23,94686.2421875,Scammers exploited mom’s fears to steal her entire life's savings,"Rising elder scams: How to recognize them and protect yourself and your loved ones. Tech expert Kurt “CyberGuy"" Knutsson helps you outsmart the scammers.",Fox News
2024-12-23,2024-12-23,94686.2421875,Why Robinhood beats Coinbase for crypto traders,"With many investors looking toward crypto, Mizuho senior analyst Dan Dolev has a big tip for acquiring tokens—another word for cryptocurrency. ""[Using...",Yahoo Entertainment
2024-12-23,2024-12-23,94686.2421875,"Suspected LockBit dev, facing US extradition, 'did it for the money'","Dual Russian-Israeli national arrested in August
An alleged LockBit ransomware developer is in custody in Israel and awaiting extradition to the United States.…",Theregister.com
2024-12-24,2024-12-24,98676.09375,El Salvador Strikes $1.4 Billion IMF Deal After Scaling Back Bitcoin Policies,"El Salvador secured a $1.4 billion loan deal with the IMF after agreeing to scale back its bitcoin policies, making cryptocurrency acceptance voluntary for businesses and limiting public sector involvement. The deal aims to stabilize the country's economy, wi…",Slashdot.org
2024-12-24,2024-12-24,98676.09375,How MacPaw is making cybersecurity accessible to everyone; my exclusive interview from Kyiv,"9to5Mac Security Bite is exclusively brought to you by Mosyle, the only Apple Unified Platform. Making Apple devices work-ready and enterprise-safe is all we do. Our unique integrated approach to management and security combines state-of-the-art Apple-specifi…",9to5Mac
2024-12-24,2024-12-24,98676.09375,What do ransomware and Jesus have in common? A birth month and an unwillingness to die,"35 years since AIDS first borked a PC and we're still no closer to a solution
Feature Your Christmas holidays looked quite different in the '80s to how they do today. While some will remember what it was like to wake up on the 25th back then, some of you won'…",Theregister.com
2024-12-25,2024-12-25,99299.1953125,North Korean Hackers Stole $1.3 Billion Worth of Crypto This Year,"In 2024, North Korean state-sponsored hackers stole $1.34 billion in cryptocurrency across 47 attacks, marking a 102.88% increase from 2023 and accounting for 61% of global crypto theft. BleepingComputer reports: Although the total number of incidents in 2024…",Slashdot.org
2024-12-25,2024-12-25,99299.1953125,"Birds, Loves, and Obscure Sorrows: The Best of The Marginalian 2024","Hindsight is how we connect the dots that figure our lives. To look back on even a single year is to see clearly the contour of who we are in its points of attention and priority. “How we spend our days,” Annie Dillard wrote, “is how we spend our lives.” How …",Themarginalian.org
2024-12-25,2024-12-25,99299.1953125,The Rise and Future Fall of MicroStrategy,My interest in the story of MicroStrategy started out tangential at first — it was just one of many unconventional outcomes born out of the rising Bitcoin phenomenon. The publicly traded company…,Medium
2024-12-25,2024-12-25,99299.1953125,UnitedHealth Group (UNH) Is Among Billionaire Coleman’s Top Picks,"We recently compiled a list of the Tech Billionaire Chase Coleman’s Top 10 Stock Picks. In this article, we are going to take a look at where UnitedHealth...",Yahoo Entertainment
2024-12-26,2024-12-26,95795.515625,Former FTX executive Ryan Salame has prison release date moved up by more than a year,Former FTX executive Ryan Salame began his prison sentence at Maryland's medium-security Federal Correctional Institution in Cumberland on October 11.,Business Insider
2024-12-26,2024-12-26,95795.515625,"A complete guide to every major character in 'Squid Game' season 2, and who plays them","""Squid Game"" season two stars Lee Jung-jae, reprising his role as Seong Gi-hun. It also features new actors, including T.O.P, Jo Yuri, and Park Sung-hoon.",Business Insider
2024-12-26,2024-12-26,95795.515625,"Stock market today: Dow ekes out gains, bitcoin slumps as 'Santa Claus' rally takes a pause",US stocks were set to open post-Christmas trading with a bit of a hangover.,Yahoo Entertainment
